population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2012,7991.791566154806,8441.590120066636,7503.970357110645
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2010,27928.49998962573,29124.581325069234,26416.06130841718
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2008,3392.073275967671,3627.828318592879,3114.943486994737
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2014,55514.585600803155,58987.48492105119,50109.83182088709
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2009,3436.7874814774195,3675.296606303262,3148.472908501917
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2015,58021.11039750938,61355.47876370021,51958.48333355473
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2012,29720.272362414453,31031.826041632463,28167.791827629408
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2013,55311.679510181195,58462.09787144095,49721.02469577374
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2014,63348.09549166501,69041.25589512895,55239.39000292752
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2014,41001.58400326283,43891.13555515145,38082.963916497225
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2014,8376.380942240303,8891.731179056469,7825.481570628333
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2010,3554.474294690145,3794.347758320383,3257.304418458521
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2015,64838.42187024047,71004.66756808988,56135.01813342804
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2015,41308.396974969255,44293.23312160191,38356.02976583876
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2015,8690.318772042147,9224.85354412742,8044.752459615597
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2011,28998.873252781967,30282.953321871144,27578.856102938204
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2013,63471.48705253847,68783.04620819888,55308.32020596521
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2013,41212.4320618561,44085.957159612975,38283.29370704385
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2013,8225.77029963117,8711.117652861583,7689.60346210887
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2016,60032.101651020894,63537.20887434084,53771.73289957334
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2011,3665.3093843337806,3895.371828567538,3383.0241800149483
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2014,31697.946048206366,32943.59660774935,29800.247237653384
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2016,65905.83512595805,72502.28377471991,57366.47154534039
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2016,42176.71825230469,45357.520329985906,39090.80011451209
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2016,9041.789578643811,9616.025969542481,8324.567310375656
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2015,32999.420461108246,34448.42292182687,30983.240954215846
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2013,30752.728151707604,32067.8776096688,29056.308246791417
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2017,60205.317725261004,63817.48629652584,53828.63950578345
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2018,59835.040387182846,63537.64675728518,53641.812630144035
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2012,3722.1842283733977,3954.444290850744,3431.170987915746
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2017,65803.40362071834,71898.397814197,57232.702312028116
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2017,41243.186584640396,44108.83265926107,38209.59199382706
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2017,9036.868273514889,9611.737379397495,8309.676676183768
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2019,62030.11363911961,66176.40940676995,55772.647527465626
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2018,65978.10242364106,72286.54151586106,57622.20349003414
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2018,40177.65106851807,43213.274691634404,37212.58592666859
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2018,9040.317165198343,9587.877890493988,8361.014851055552
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2016,34094.61983779143,35525.636406960504,31911.512264058707
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2021,57918.763738085356,60991.46667163956,52229.71295661974
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2020,59289.77710604219,62406.85740234312,53226.98637448224
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2019,67775.18188490527,74380.21650663554,58897.67796993803
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2019,40578.501719947366,43804.54996147784,37417.92051217552
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2019,9057.11027195187,9637.206254554278,8312.335291097414
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2014,3877.78589583232,4122.88995707116,3588.348348577398
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2015,4091.548178125438,4356.491887812907,3800.015846291931
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2018,35282.976850623876,36921.23907395845,33079.10582722624
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2013,3810.5559944376273,4043.3227041155046,3518.2231544239708
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2017,34589.58499143417,36159.3346652847,32340.7525324684
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2020,67649.03309305423,73363.60382614867,59726.331595777425
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2020,41024.10554430419,43965.18190388675,38024.37988937144
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2020,8090.66600181703,8559.879986712236,7456.99574006849
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2016,4210.685284647985,4497.840366137033,3906.716617694232
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2021,67320.26343218808,72726.6125709639,59622.57172484038
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2021,40936.75474957362,43616.576755064714,37972.0319618774
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2021,8528.49460624689,9020.567641135798,7924.39969257612
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2019,36188.49776997733,38030.147669943966,33869.016536186886
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2018,4191.346624700692,4495.819240298632,3853.8543481054026
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2017,4146.596530818385,4456.357613432165,3856.454200044589
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2020,35974.414270108355,37657.3433176856,33874.12701576352
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2021,36711.85481311169,38403.90717045224,34818.25669054175
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2020,3970.731245641381,4252.011230715774,3699.8971874449426
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2019,4196.081002617053,4497.14162615811,3888.079521061187
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2021,4009.0694328926825,4279.83182164511,3765.4374369906045
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2022,64530.59320250263,68428.86524930749,58063.63579141943
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2023,64617.64587043331,68969.90365500332,57246.935965784105
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2022,71018.79036179878,77178.31491872093,62530.99926194923
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2022,41941.64335772733,44738.29084617448,38894.93916689213
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2022,9833.22543768676,10398.30829060395,9067.561951057884
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2023,70691.1407950883,77395.6939541688,61130.83962543447
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2023,42900.39852309072,45607.85833711415,39555.25852060595
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2023,10198.53372928531,10813.209854469897,9338.410560128697
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2023,39304.51344656866,41435.1471149083,36576.490863063846
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2022,38446.378433639235,40312.386665014885,36169.663552787875
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2023,4583.517050175116,4874.444379613923,4276.776999463836
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2022,4205.132416921186,4486.221794692362,3926.6492825752657
