population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1985,1825.9996818747927,1991.0624739690757,1657.195641599535
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1986,12153.758593756078,12704.110475557616,11545.342034993757
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1987,53315.48922547733,57518.66539070858,49076.978039276306
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1987,43459.73616728616,46836.66768222071,40182.89979035608
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1987,2265.9355408191323,2419.775447207822,2119.262913437848
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1987,1968.7589475864972,2165.2859557379597,1789.0139664512442
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1988,55344.579152469145,59570.61476656644,51175.73222220725
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1988,44434.87806061214,47966.869963654586,41007.473438150904
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1988,2478.856611896934,2656.4255739017294,2329.138894071165
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1987,12602.195701587016,13082.762465880056,12019.162754183553
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1990,31443.749187623856,34002.886888368856,28718.612256351345
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1989,54146.62863436479,58329.525523996526,50030.11914315014
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1989,44073.02483695,47779.59704192389,40795.476734567485
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1989,2576.5200074678205,2753.635122222207,2418.9709642314447
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1988,13284.353760853002,13868.089309027313,12694.619540359108
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1989,13584.203560346983,14254.578018046943,12913.584239704307
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1989,1995.0221921723507,2184.4619246745733,1815.5562453219884
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1988,1979.1605004882051,2174.799428209263,1799.1911296756377
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1990,53616.08485007573,57675.2580582071,49560.97083128652
